slno,statename,districtname,marketname,commodity,variety,grade,minprice,maxprice,modalprice,pricedate
18,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4200,4500,4400,2021-03-22T18:30:00.000Z
19,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,400,700,600,2021-03-29T18:30:00.000Z
3,GUJARAT,Surat,Songadh,Ambada Seed,Ambada Seed,FAQ,2000,4025,3012,2021-01-09T18:30:00.000Z
6,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-04-07T18:30:00.000Z
19,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,2021-04-11T18:30:00.000Z
19,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4000,4500,4300,2021-03-21T18:30:00.000Z
6,KERELA,Kollam,Sasthamkotta,Turmeric (raw),Other,FAQ,1600,2000,1800,2021-04-05T18:30:00.000Z
20,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,1700,1800,1750,2021-04-11T18:30:00.000Z
4,GUJARAT,Surat,Songadh,Ambada Seed,Ambada Seed,FAQ,3995,4010,4002,2021-01-08T18:30:00.000Z
20,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2300,2700,2500,2021-03-19T18:30:00.000Z
21,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2400,2800,2600,2021-03-18T18:30:00.000Z
22,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2400,2800,2600,2021-03-17T18:30:00.000Z
23,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2300,2900,2700,2021-03-16T18:30:00.000Z
24,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,3000,3500,3200,2021-03-16T18:30:00.000Z
25,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2400,2800,2600,2021-03-15T18:30:00.000Z
26,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2400,2800,2600,2021-03-14T18:30:00.000Z
27,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2500,3000,2800,2021-03-14T18:30:00.000Z
28,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2600,2900,2700,2021-03-11T18:30:00.000Z
29,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2500,3000,2800,2021-03-11T18:30:00.000Z
30,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2800,3000,2900,2021-03-09T18:30:00.000Z
31,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2500,3000,2800,2021-03-09T18:30:00.000Z
