"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"216","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","2000","1700","1/5/2021"
"217","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1250","1700","1475","1/5/2021"
"218","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1700","1600","1/5/2021"
"219","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","2200","1700","1/4/2021"
"220","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1700","1600","1/4/2021"
"221","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1700","1600","1/3/2021"
"222","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1700","1600","1/2/2021"
"223","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2400","2800","2500","1/2/2021"
"224","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1300","1500","1450","1/1/2021"
"225","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2400","2600","2500","1/1/2021"
