"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"137","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1300","1200","1/27/2021"
"138","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/25/2021"
"139","KARNATAKA","Mysore","Santhesargur","White Pumpkin","White Pumpkin","FAQ","1383","1383","1383","1/25/2021"
"140","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/25/2021"
"141","ODISHA","Kalahandi","Kesinga","White Pumpkin","Other","FAQ","1500","2000","1700","1/25/2021"
"142","NAGALAND","Mokokchung","Mokokchung Town","White Pumpkin","White Pumpkin","FAQ","6000","7000","6500","1/23/2021"
"143","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","1/22/2021"
"144","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/22/2021"
"145","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/21/2021"
"146","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","1/20/2021"
"147","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/20/2021"
"148","ODISHA","Koraput","Koraput","White Pumpkin","Other","FAQ","1400","1600","1500","1/20/2021"
"149","UTTAR PRADESH","Muzaffarnagar","Shahpur","White Pumpkin","White Pumpkin","FAQ","400","410","405","1/20/2021"
"150","UTTAR PRADESH","Kanpur","Varipaal","White Pumpkin","White Pumpkin","FAQ","500","500","500","1/20/2021"
"151","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","1/19/2021"
"152","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1300","1000","1/19/2021"
"153","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","1/18/2021"
"154","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1300","1000","1/18/2021"
"155","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1300","1000","1/16/2021"
"156","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/15/2021"
"157","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1300","1000","1/15/2021"
"158","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/13/2021"
"159","KARNATAKA","Kolar","Malur","White Pumpkin","White Pumpkin","FAQ","900","1200","1000","1/13/2021"
"160","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1300","1000","1/13/2021"
"161","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","1/12/2021"
"162","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","700","1400","1200","1/12/2021"
"163","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1200","1400","1300","1/11/2021"
"164","KARNATAKA","Kolar","Malur","White Pumpkin","White Pumpkin","FAQ","800","1200","1000","1/11/2021"
"165","KARNATAKA","Mysore","Santhesargur","White Pumpkin","White Pumpkin","FAQ","1383","1383","1383","1/11/2021"
"166","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","700","1400","1200","1/11/2021"
"167","UTTAR PRADESH","Muzaffarnagar","Shahpur","White Pumpkin","White Pumpkin","FAQ","400","420","410","1/9/2021"
"168","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/8/2021"
"169","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","1/7/2021"
"170","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","700","1400","1200","1/7/2021"
"171","UTTAR PRADESH","Muzaffarnagar","Shahpur","White Pumpkin","White Pumpkin","FAQ","400","420","410","1/7/2021"
"172","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1100","1300","1200","1/6/2021"
"173","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","700","1400","1200","1/6/2021"
"174","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/5/2021"
"175","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","700","1400","1000","1/5/2021"
"176","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","1/4/2021"
"177","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","700","1400","1000","1/4/2021"
"178","UTTAR PRADESH","Muzaffarnagar","Shahpur","White Pumpkin","White Pumpkin","FAQ","400","420","410","1/4/2021"
"179","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1200","1400","1300","1/2/2021"
"180","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","700","1400","1000","1/2/2021"
"181","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","700","1400","1000","1/1/2021"
