Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
165,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1500,1700,1600,4/2/2021
166,KERELA,Malappuram,Perinthalmanna,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/2/2021
167,KERELA,Ernakulam,Piravam,Amphophalus,Other,FAQ,2000,2500,2200,4/2/2021
168,KERELA,Kollam,Sasthamkotta,Amphophalus,Other,FAQ,2800,3200,3000,4/2/2021
169,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,4/1/2021
170,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2200,2000,4/1/2021
171,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,1800,2100,2000,4/1/2021
172,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/1/2021
173,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1900,2100,2000,4/1/2021
174,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,1900,2100,2000,4/1/2021
175,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,2000,2150,2100,4/1/2021
176,KERELA,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,1500,1700,1600,4/1/2021
177,KERELA,Kollam,Punalur,Amphophalus,Amphophalus,FAQ,1800,2200,2000,4/1/2021
178,KERELA,Kozhikode(Calicut),Thamarassery,Amphophalus,Other,FAQ,1600,2400,1900,4/1/2021
179,KERELA,Idukki,Adimali,Amphophalus,Amphophalus,FAQ,3000,3000,3000,3/31/2021
180,KERELA,Alappuzha,Alappuzha,Amphophalus,Other,FAQ,2400,2500,2450,3/31/2021
181,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,3/31/2021
182,KERELA,Thiruvananthapuram,Aralamoodu,Amphophalus,Amphophalus,FAQ,3000,3000,3000,3/31/2021
183,KERELA,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,1400,1600,1500,3/31/2021
